customer_id,customer_name,segment,region,city,order_count,total_spent,avg_order_value,last_purchase_date
1,ahmed ali,consumer,north america,unknown,0,0.00,,
2,ahmed anderson,home office,asia pacific,unknown,0,0.00,,
3,ahmed clark,consumer,north america,unknown,0,0.00,,
4,ahmed clark,corporate,asia pacific,unknown,0,0.00,,
5,ahmed dubois,consumer,north america,unknown,0,0.00,,
6,ahmed dubois,consumer,europe,unknown,0,0.00,,
7,ahmed garcia,corporate,middle east & africa,unknown,0,0.00,,
8,ahmed harris,consumer,south america,unknown,0,0.00,,
9,ahmed hassan,corporate,north america,unknown,0,0.00,,
10,ahmed jackson,corporate,middle east & africa,unknown,0,0.00,,
11,ahmed jackson,consumer,south america,unknown,0,0.00,,
12,ahmed johansson,corporate,europe,unknown,0,0.00,,
13,ahmed johnson,corporate,europe,unknown,0,0.00,,
14,ahmed pereira,consumer,asia pacific,unknown,0,0.00,,
15,ahmed rodriguez,home office,middle east & africa,unknown,0,0.00,,
16,ahmed russo,consumer,asia pacific,unknown,0,0.00,,
17,ahmed santos,home office,asia pacific,unknown,0,0.00,,
18,ahmed sharma,consumer,asia pacific,unknown,0,0.00,,
19,ahmed sharma,home office,north america,unknown,0,0.00,,
20,ahmed singh,home office,europe,unknown,0,0.00,,
21,ahmed singh,corporate,north america,unknown,0,0.00,,
22,ahmed smith,consumer,north america,unknown,0,0.00,,
23,ahmed tanaka,corporate,north america,unknown,0,0.00,,
24,ahmed taylor,consumer,south america,unknown,0,0.00,,
25,ahmed taylor,home office,asia pacific,unknown,0,0.00,,
26,ahmed thompson,consumer,europe,unknown,0,0.00,,
27,ahmed weber,corporate,asia pacific,unknown,0,0.00,,
28,ahmed zhang,corporate,north america,unknown,0,0.00,,
29,ali dubois,corporate,asia pacific,unknown,0,0.00,,
30,ali harris,consumer,north america,unknown,0,0.00,,
31,ali hassan,home office,north america,unknown,0,0.00,,
32,ali jackson,consumer,middle east & africa,unknown,0,0.00,,
33,ali johansson,corporate,north america,unknown,0,0.00,,
34,ali johansson,home office,middle east & africa,unknown,0,0.00,,
35,ali johnson,corporate,north america,unknown,0,0.00,,
36,ali jones,consumer,north america,unknown,0,0.00,,
37,ali jones,consumer,europe,unknown,0,0.00,,
38,ali kim,home office,europe,unknown,0,0.00,,
39,ali leroy,consumer,asia pacific,unknown,0,0.00,,
40,ali li,corporate,europe,unknown,0,0.00,,
41,ali miller,home office,north america,unknown,0,0.00,,
42,ali miller,consumer,north america,unknown,0,0.00,,
43,ali müller,consumer,asia pacific,unknown,0,0.00,,
44,ali oliveira,consumer,north america,unknown,0,0.00,,
45,ali patel,consumer,middle east & africa,unknown,0,0.00,,
46,ali rodriguez,consumer,middle east & africa,unknown,0,0.00,,
47,ali romano,corporate,asia pacific,unknown,0,0.00,,
48,ali sato,corporate,north america,unknown,0,0.00,,
49,ali taylor,consumer,north america,unknown,0,0.00,,
50,ali thomas,consumer,asia pacific,unknown,0,0.00,,
51,ali wang,consumer,asia pacific,unknown,0,0.00,,
52,ali weber,corporate,asia pacific,unknown,0,0.00,,
53,ali yamamoto,consumer,south america,unknown,0,0.00,,
54,ali yamamoto,consumer,asia pacific,unknown,0,0.00,,
55,amina ali,consumer,north america,unknown,0,0.00,,
56,amina anderson,corporate,asia pacific,unknown,0,0.00,,
57,amina clark,consumer,europe,unknown,0,0.00,,
58,amina clark,home office,north america,unknown,0,0.00,,
59,amina harris,consumer,north america,unknown,0,0.00,,
60,amina harris,corporate,asia pacific,unknown,0,0.00,,
61,amina johansson,consumer,europe,unknown,0,0.00,,
62,amina johansson,corporate,europe,unknown,0,0.00,,
63,amina jones,consumer,north america,unknown,0,0.00,,
64,amina khan,corporate,asia pacific,unknown,0,0.00,,
65,amina nilsson,consumer,asia pacific,unknown,0,0.00,,
66,amina romano,corporate,middle east & africa,unknown,0,0.00,,
67,amina russo,corporate,asia pacific,unknown,0,0.00,,
68,amina sharma,consumer,north america,unknown,0,0.00,,
69,amina singh,consumer,north america,unknown,0,0.00,,
70,amina smith,consumer,north america,unknown,0,0.00,,
71,amina tanaka,consumer,north america,unknown,0,0.00,,
72,amina taylor,home office,middle east & africa,unknown,0,0.00,,
73,amina taylor,consumer,asia pacific,unknown,0,0.00,,
74,amina taylor,home office,europe,unknown,0,0.00,,
75,amina thomas,consumer,north america,unknown,0,0.00,,
76,amina wang,consumer,north america,unknown,0,0.00,,
77,amir ali,consumer,asia pacific,unknown,0,0.00,,
78,amir ali,consumer,europe,unknown,0,0.00,,
79,amir anderson,corporate,europe,unknown,0,0.00,,
80,amir chen,consumer,north america,unknown,0,0.00,,
81,amir dubois,home office,north america,unknown,0,0.00,,
82,amir ferrari,corporate,south america,unknown,0,0.00,,
83,amir garcia,corporate,europe,unknown,0,0.00,,
84,amir hassan,consumer,north america,unknown,0,0.00,,
85,amir johansson,consumer,asia pacific,unknown,0,0.00,,
86,amir khan,consumer,asia pacific,unknown,0,0.00,,
87,amir moreau,home office,asia pacific,unknown,0,0.00,,
88,amir park,consumer,middle east & africa,unknown,0,0.00,,
89,amir rodriguez,consumer,middle east & africa,unknown,0,0.00,,
90,amir singh,corporate,north america,unknown,0,0.00,,
91,amir smith,home office,north america,unknown,0,0.00,,
92,amir tanaka,home office,asia pacific,unknown,0,0.00,,
93,amir taylor,consumer,europe,unknown,0,0.00,,
94,amir thompson,corporate,south america,unknown,0,0.00,,
95,amir thompson,corporate,middle east & africa,unknown,0,0.00,,
96,amir wang,consumer,north america,unknown,0,0.00,,
