date,customer,product,quantity,price,sales,month,year,row_id,order_id,ship_date,ship_mode,customer_id,segment,country,city,state,postal_code,region,retail_sales_people,product_id,category,sub_category,returned,discount,profit,day_of_week,is_weekend,revenue,total_spend,order_count,product_total_sales,source
2016-08-11,claire gute,bush somerset collection bookcase,2,130.98,261.96,8,2016,1,ca-2016-152156,2016-11-11,second class,cg-12520,consumer,united states,henderson,kentucky,42420,south,cassandra brandow,fur-bo-10001798,furniture,bookcases,not,0.0,41.9136,thursday,False,261.96,416.84,4,707.2919999999999,retail_supply_chain_sales
2016-12-06,darrin van huff,self-adhesive address labels for typewriters by universal,2,7.31,14.62,12,2016,3,ca-2016-138688,2016-12-06,second class,dv-13045,corporate,united states,los angeles,california,90036,west,anna andreadi,off-la-10000240,office supplies,labels,not,0.0,6.8714,tuesday,False,14.62,397.608,8,153.51,retail_supply_chain_sales
2015-11-10,sean o'donnell,eldon fold 'n roll cart system,2,11.184,22.368,11,2015,5,us-2015-108966,2015-11-10,standard class,so-20335,consumer,united states,fort lauderdale,florida,33311,south,cassandra brandow,off-st-10000760,office supplies,storage,not,0.2,2.5164,tuesday,False,22.368,1644.998,14,301.96799999999996,retail_supply_chain_sales
2014-09-06,brosina hoffman,"eldon expressions wood and plastic desk accessories, cherry wood",7,6.9799999999999995,48.86,9,2014,6,ca-2014-115812,2014-09-06,standard class,bh-11710,consumer,united states,los angeles,california,90032,west,anna andreadi,fur-fu-10001487,furniture,furnishings,not,0.0,14.1694,saturday,True,48.86,1932.647,20,160.54000000000002,retail_supply_chain_sales
2014-09-06,brosina hoffman,newell 322,4,1.82,7.28,9,2014,7,ca-2014-115812,2014-09-06,standard class,bh-11710,consumer,united states,los angeles,california,90032,west,anna andreadi,off-ar-10002833,office supplies,art,not,0.0,1.9656,saturday,True,7.28,1932.647,20,30.576,retail_supply_chain_sales
2014-09-06,brosina hoffman,dxl angle-view binders with locking rings by samsill,3,6.168,18.504,9,2014,9,ca-2014-115812,2014-09-06,standard class,bh-11710,consumer,united states,los angeles,california,90032,west,anna andreadi,off-bi-10003910,office supplies,binders,not,0.2,5.7825,saturday,True,18.504,1932.647,20,215.109,retail_supply_chain_sales
2014-09-06,brosina hoffman,belkin f5c206vtel 6 outlet surge,5,22.98,114.9,9,2014,10,ca-2014-115812,2014-09-06,standard class,bh-11710,consumer,united states,los angeles,california,90032,west,anna andreadi,off-ap-10002892,office supplies,appliances,not,0.0,34.47,saturday,True,114.9,1932.647,20,464.196,retail_supply_chain_sales
2017-04-15,andrew allen,xerox 1967,3,5.184,15.552,4,2017,13,ca-2017-114412,2017-04-20,standard class,aa-10480,consumer,united states,concord,north carolina,28027,south,cassandra brandow,off-pa-10002365,office supplies,paper,not,0.2,5.4432,saturday,True,15.552,1790.5120000000002,12,89.424,retail_supply_chain_sales
2016-05-12,irene maddox,fellowes pb200 plastic comb binding machine,3,135.992,407.976,5,2016,14,ca-2016-161389,2016-10-12,standard class,im-15070,consumer,united states,seattle,washington,98103,west,anna andreadi,off-bi-10003656,office supplies,binders,not,0.2,132.5922,thursday,False,407.976,2010.654,19,1053.938,retail_supply_chain_sales
2015-11-22,harold pawlan,"holmes replacement filter for hepa air cleaner, very large room, hepa filter",5,13.762,68.81,11,2015,15,us-2015-118983,2015-11-26,standard class,hp-14815,home office,united states,fort worth,texas,76106,central,kelly williams,off-ap-10002311,office supplies,appliances,not,0.8,-123.858,sunday,True,68.81,747.414,9,1383.0810000000001,retail_supply_chain_sales
2015-11-22,harold pawlan,storex duratech recycled plastic frosted binders,3,0.848,2.544,11,2015,16,us-2015-118983,2015-11-26,standard class,hp-14815,home office,united states,fort worth,texas,76106,central,kelly williams,off-bi-10000756,office supplies,binders,not,0.8,-3.816,sunday,True,2.544,747.414,9,94.128,retail_supply_chain_sales
2014-05-13,alejandro grove,fellowes super stor/drawer,2,27.75,55.5,5,2014,18,ca-2014-167164,2014-05-15,second class,ag-10270,consumer,united states,west jordan,utah,84084,west,anna andreadi,off-st-10000107,office supplies,storage,not,0.0,9.99,tuesday,False,55.5,1246.458,13,477.3,retail_supply_chain_sales
2014-08-27,zuschuss donatelli,newell 341,2,4.28,8.56,8,2014,19,ca-2014-143336,2014-08-27,second class,zd-21925,consumer,united states,san francisco,california,94109,west,anna andreadi,off-ar-10003056,office supplies,art,yes,0.0,2.4824,wednesday,False,8.56,669.9839999999999,8,96.72800000000001,retail_supply_chain_sales
2014-08-27,zuschuss donatelli,cisco spa 501g ip phone,3,71.16,213.48,8,2014,20,ca-2014-143336,2014-08-27,second class,zd-21925,consumer,united states,san francisco,california,94109,west,anna andreadi,tec-ph-10001949,technology,phones,yes,0.2,16.011,wednesday,False,213.48,669.9839999999999,8,213.48,retail_supply_chain_sales
2014-08-27,zuschuss donatelli,"wilson jones hanging view binder, white, 1""",4,5.68,22.72,8,2014,21,ca-2014-143336,2014-08-27,second class,zd-21925,consumer,united states,san francisco,california,94109,west,anna andreadi,off-bi-10002215,office supplies,binders,yes,0.2,7.384,wednesday,False,22.72,669.9839999999999,8,143.42,retail_supply_chain_sales
2016-09-12,ken black,newell 318,7,2.7800000000000002,19.46,9,2016,22,ca-2016-137330,2016-12-13,standard class,kb-16585,corporate,united states,fremont,nebraska,68025,central,kelly williams,off-ar-10000246,office supplies,art,not,0.0,5.0596,monday,False,19.46,1730.91,22,61.716,retail_supply_chain_sales
2016-09-12,ken black,"acco six-outlet power strip, 4' cord length",7,8.620000000000001,60.34,9,2016,23,ca-2016-137330,2016-12-13,standard class,kb-16585,corporate,united states,fremont,nebraska,68025,central,kelly williams,off-ap-10001492,office supplies,appliances,not,0.0,15.6884,monday,False,60.34,1730.91,22,343.076,retail_supply_chain_sales
2017-07-16,sandra flanagan,"global deluxe stacking chair, gray",2,35.686,71.372,7,2017,24,us-2017-156909,2017-07-18,second class,sf-20065,consumer,united states,philadelphia,pennsylvania,19140,east,chuck magee,fur-ch-10002774,furniture,chairs,not,0.3,-1.0196,sunday,True,71.372,763.5459999999999,9,764.7,retail_supply_chain_sales
