customer_id,customer_name,segment,region,city,order_count,total_spent,avg_order_value,last_purchase_date
601,ingrid zhang,corporate,asia pacific,unknown,2,942.46,471.23,2025-12-22
35,ali johnson,corporate,north america,unknown,1,861.56,861.56,2023-09-14
347,elizabeth johnson,home office,north america,unknown,2,802.61,401.31,2025-06-27
127,ayumi khan,consumer,north america,unknown,2,725.33,362.67,2025-01-01
1539,sarah weber,home office,north america,unknown,1,709.26,709.26,2025-09-23
171,barbara sharma,corporate,europe,unknown,2,688.55,344.28,2023-12-25
80,amir chen,consumer,north america,unknown,1,688.41,688.41,2023-06-10
297,david clark,consumer,europe,unknown,1,671.00,671.00,2023-09-03
1198,olga nilsson,consumer,north america,unknown,1,669.87,669.87,2023-06-29
970,lucas moreau,home office,north america,unknown,1,669.06,669.06,2025-06-22
33,ali johansson,corporate,north america,unknown,1,668.00,668.00,2023-09-17
1362,priya costa,corporate,asia pacific,unknown,1,666.84,666.84,2023-12-23
920,liam laurent,consumer,north america,unknown,1,663.54,663.54,2023-09-16
520,hanna hassan,home office,europe,unknown,1,663.24,663.24,2025-11-03
836,kenji davis,home office,europe,unknown,1,658.55,658.55,2024-03-03
1501,sakura thomas,corporate,north america,unknown,1,656.88,656.88,2024-11-30
1087,mia romano,corporate,asia pacific,unknown,1,647.97,647.97,2024-07-23
467,felix müller,corporate,asia pacific,unknown,2,647.75,323.88,2024-03-30
574,hans singh,home office,europe,unknown,1,647.72,647.72,2023-07-15
1558,sophie martin,corporate,north america,unknown,1,642.05,642.05,2024-05-20
513,hanna ahmed,consumer,middle east & africa,unknown,1,641.04,641.04,2023-02-12
1701,xiao brown,corporate,south america,unknown,1,640.56,640.56,2025-07-23
1297,oscar nilsson,consumer,europe,unknown,1,635.15,635.15,2025-01-04
1065,mary white,consumer,north america,unknown,1,632.67,632.67,2024-10-30
877,layla johansson,consumer,europe,unknown,1,629.60,629.60,2024-09-10
1335,pierre anderson,corporate,asia pacific,unknown,1,617.10,617.10,2025-09-02
1110,michael khan,corporate,north america,unknown,2,611.91,305.96,2023-08-27
728,jennifer robinson,consumer,europe,unknown,1,604.80,604.80,2025-08-29
158,barbara hassan,consumer,asia pacific,unknown,1,603.68,603.68,2023-08-12
1190,olga garcia,corporate,north america,unknown,1,602.88,602.88,2025-10-05
8,ahmed harris,consumer,south america,unknown,1,598.14,598.14,2023-03-08
648,ivan sato,consumer,europe,unknown,1,595.68,595.68,2025-11-03
837,kenji dubois,home office,europe,unknown,1,595.60,595.60,2024-02-03
551,hans harris,consumer,north america,unknown,1,595.02,595.02,2024-03-27
795,joseph martinez,consumer,asia pacific,unknown,2,594.72,297.36,2024-06-01
504,giulia rossi,corporate,asia pacific,unknown,1,590.48,590.48,2023-11-18
966,lucas khan,consumer,north america,unknown,1,590.48,590.48,2023-05-18
760,jessica suzuki,corporate,asia pacific,unknown,1,589.12,589.12,2024-08-13
1666,wei suzuki,consumer,south america,unknown,1,588.00,588.00,2024-08-16
1507,sarah clark,consumer,south america,unknown,1,586.86,586.86,2025-09-08
1252,omar costa,corporate,north america,unknown,2,586.72,293.36,2024-09-13
191,carlos rodriguez,corporate,south america,unknown,1,583.71,583.71,2025-12-10
818,karen robinson,home office,asia pacific,unknown,1,581.90,581.90,2023-10-24
677,jamal schmidt,consumer,north america,unknown,1,579.48,579.48,2023-01-14
1343,pierre leroy,home office,north america,unknown,1,578.97,578.97,2025-03-16
1002,marco taylor,consumer,north america,unknown,1,577.65,577.65,2023-04-26
537,hanna taylor,home office,north america,unknown,1,577.59,577.59,2024-01-09
129,ayumi laurent,consumer,south america,unknown,1,577.02,577.02,2024-11-09
