customer_id,customer_name,segment,region,city,last_purchase_date,days_since_last_purchase
772,john johansson,corporate,europe,unknown,2023-01-02,1094
827,karen suzuki,corporate,north america,unknown,2023-01-02,1094
293,clara taylor,corporate,europe,unknown,2023-01-03,1093
742,jessica garcia,consumer,north america,unknown,2023-01-03,1093
444,fatima suzuki,consumer,north america,unknown,2023-01-05,1091
121,ayumi ferrari,home office,middle east & africa,unknown,2023-01-06,1090
472,felix rodriguez,home office,north america,unknown,2023-01-06,1090
46,ali rodriguez,consumer,middle east & africa,unknown,2023-01-07,1089
855,kenji rossi,corporate,europe,unknown,2023-01-08,1088
1406,raj martinez,corporate,south america,unknown,2023-01-08,1088
1049,mary khan,corporate,europe,unknown,2023-01-09,1087
1027,maria tanaka,consumer,south america,unknown,2023-01-12,1084
995,marco moreau,corporate,asia pacific,unknown,2023-01-13,1083
1742,zara brown,corporate,europe,unknown,2023-01-13,1083
677,jamal schmidt,consumer,north america,unknown,2023-01-14,1082
1509,sarah davis,home office,europe,unknown,2023-01-14,1082
290,clara smith,corporate,south america,unknown,2023-01-15,1081
731,jennifer russo,home office,north america,unknown,2023-01-17,1079
1725,yuki costa,corporate,middle east & africa,unknown,2023-01-17,1079
653,ivan zhang,consumer,middle east & africa,unknown,2023-01-20,1076
822,karen rossi,home office,asia pacific,unknown,2023-01-20,1076
1039,mary davis,consumer,south america,unknown,2023-01-20,1076
1491,sakura martinez,home office,asia pacific,unknown,2023-01-20,1076
227,chen singh,consumer,asia pacific,unknown,2023-01-22,1074
1400,raj costa,consumer,europe,unknown,2023-01-23,1073
1655,wei müller,consumer,north america,unknown,2023-01-23,1073
1540,sarah zhang,home office,middle east & africa,unknown,2023-01-24,1072
950,linda russo,corporate,europe,unknown,2023-01-25,1071
212,chen laurent,consumer,north america,unknown,2023-01-26,1070
295,david anderson,consumer,middle east & africa,unknown,2023-01-27,1069
144,ayumi tanaka,corporate,asia pacific,unknown,2023-01-28,1068
1040,mary ferrari,consumer,europe,unknown,2023-01-28,1068
1583,susan johansson,consumer,north america,unknown,2023-01-28,1068
1108,michael harris,home office,south america,unknown,2023-01-29,1067
1376,priya martin,consumer,north america,unknown,2023-01-30,1066
110,ava martinez,corporate,middle east & africa,unknown,2023-01-31,1065
851,kenji nilsson,home office,asia pacific,unknown,2023-01-31,1065
910,li wang,corporate,south america,unknown,2023-01-31,1065
3,ahmed clark,consumer,north america,unknown,2023-02-01,1064
1697,william sharma,corporate,europe,unknown,2023-02-02,1063
479,felix smith,corporate,south america,unknown,2023-02-03,1062
675,jamal rossi,corporate,asia pacific,unknown,2023-02-03,1062
814,karen martinez,home office,south america,unknown,2023-02-04,1061
1023,maria sharma,home office,asia pacific,unknown,2023-02-04,1061
1502,sakura thomas,corporate,south america,unknown,2023-02-04,1061
545,hans chen,consumer,europe,unknown,2023-02-05,1060
484,felix yamamoto,consumer,asia pacific,unknown,2023-02-07,1058
496,giulia leroy,consumer,asia pacific,unknown,2023-02-07,1058
878,layla khan,home office,north america,unknown,2023-02-07,1058
107,ava jones,consumer,asia pacific,unknown,2023-02-08,1057
1012,maria laurent,home office,asia pacific,unknown,2023-02-08,1057
1490,sakura martin,corporate,asia pacific,unknown,2023-02-08,1057
1764,zara suzuki,consumer,north america,unknown,2023-02-09,1056
386,emma oliveira,consumer,europe,unknown,2023-02-10,1055
557,hans kim,corporate,asia pacific,unknown,2023-02-10,1055
1131,michael zhang,consumer,north america,unknown,2023-02-11,1054
513,hanna ahmed,consumer,middle east & africa,unknown,2023-02-12,1053
1324,patricia müller,consumer,asia pacific,unknown,2023-02-12,1053
866,kenji zhang,corporate,north america,unknown,2023-02-15,1050
134,ayumi nilsson,home office,middle east & africa,unknown,2023-02-16,1049
153,barbara davis,consumer,europe,unknown,2023-02-17,1048
981,lucas schmidt,home office,asia pacific,unknown,2023-02-17,1048
1067,mia ali,corporate,north america,unknown,2023-02-17,1048
764,jessica wang,corporate,asia pacific,unknown,2023-02-18,1047
460,felix johansson,consumer,north america,unknown,2023-02-19,1046
683,jamal zhang,consumer,middle east & africa,unknown,2023-02-19,1046
1393,priya wang,consumer,europe,unknown,2023-02-19,1046
1563,sophie park,consumer,north america,unknown,2023-02-20,1045
553,hans johnson,consumer,asia pacific,unknown,2023-02-21,1044
1101,michael davis,consumer,asia pacific,unknown,2023-02-21,1044
724,jennifer moreau,corporate,north america,unknown,2023-02-22,1043
1086,mia müller,home office,europe,unknown,2023-02-22,1043
443,fatima suzuki,home office,south america,unknown,2023-02-23,1042
1378,priya martinez,corporate,north america,unknown,2023-02-23,1042
1769,zara white,consumer,europe,unknown,2023-02-24,1041
403,ethan hassan,corporate,asia pacific,unknown,2023-02-25,1040
466,felix moreau,consumer,europe,unknown,2023-02-25,1040
595,ingrid schmidt,consumer,europe,unknown,2023-02-26,1039
1077,mia harris,consumer,north america,unknown,2023-02-27,1038
1109,michael hassan,corporate,asia pacific,unknown,2023-02-27,1038
1286,oscar jones,consumer,north america,unknown,2023-02-27,1038
1548,sophie harris,consumer,south america,unknown,2023-02-27,1038
485,giulia ali,consumer,asia pacific,unknown,2023-03-01,1036
142,ayumi suzuki,corporate,asia pacific,unknown,2023-03-02,1035
350,elizabeth moreau,home office,asia pacific,unknown,2023-03-02,1035
438,fatima rossi,consumer,asia pacific,unknown,2023-03-02,1035
1061,mary smith,home office,north america,unknown,2023-03-02,1035
1072,mia clark,consumer,europe,unknown,2023-03-02,1035
152,barbara ali,corporate,asia pacific,unknown,2023-03-05,1032
959,lucas anderson,consumer,europe,unknown,2023-03-06,1031
275,clara miller,consumer,north america,unknown,2023-03-07,1030
1256,omar garcia,consumer,asia pacific,unknown,2023-03-07,1030
8,ahmed harris,consumer,south america,unknown,2023-03-08,1029
298,david harris,corporate,europe,unknown,2023-03-08,1029
339,elizabeth ahmed,corporate,south america,unknown,2023-03-08,1029
689,james chen,home office,europe,unknown,2023-03-08,1029
430,fatima kumar,consumer,middle east & africa,unknown,2023-03-09,1028
1084,mia martin,corporate,north america,unknown,2023-03-10,1027
918,liam jones,consumer,europe,unknown,2023-03-11,1026
376,emma johnson,corporate,europe,unknown,2023-03-12,1025
1584,susan kim,consumer,middle east & africa,unknown,2023-03-13,1024
163,barbara leroy,home office,north america,unknown,2023-03-15,1022
616,isabella martin,consumer,asia pacific,unknown,2023-03-16,1021
1619,thomas patel,consumer,south america,unknown,2023-03-16,1021
1636,wei chen,consumer,middle east & africa,unknown,2023-03-17,1020
812,karen jackson,consumer,asia pacific,unknown,2023-03-18,1019
1097,mia weber,consumer,north america,unknown,2023-03-19,1018
740,jessica anderson,consumer,middle east & africa,unknown,2023-03-21,1016
432,fatima li,consumer,north america,unknown,2023-03-22,1015
468,felix park,consumer,south america,unknown,2023-03-23,1014
1356,pierre yamamoto,consumer,middle east & africa,unknown,2023-03-23,1014
1075,mia ferrari,consumer,asia pacific,unknown,2023-03-24,1013
198,carlos smith,home office,north america,unknown,2023-03-25,1012
